Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
IPDI,0.000199253,0.002442996,categorical,Not Applicable,No,Survey - Credit Cards - Premium Discover,An individual within the household completed a survey indicating they use a premium Discover card.,"Y = Yes
U = Unknown",Drop U,IPDI_U
IPOT,-2.38E-05,0.884673472,categorical,Not Applicable,No,Survey - Credit Cards - Premium Other,An individual within the household completed a survey indicating they use a premium credit card.,"Y = Yes
U = Unknown",Drop U,IPOT_U
IPSR,8.30E-05,0.035739232,categorical,Not Applicable,No,Survey - Credit Cards - Premium Store or Retail,An individual within the household completed a survey indicating they use a premium store or retail credit card.,"Y = Yes
U = Unknown",Drop U,IPSR_U
IPVM,-2.21E-05,0.758901102,categorical,Not Applicable,No,Survey - Credit Cards - Premium Visa or MasterCard,An individual within the household completed a survey indicating they use a premium Visa or MasterCard.,"Y = Yes
U = Unknown",Drop U,IPVM_U
IRAE,-4.65E-06,0.368361899,categorical,Not Applicable,No,Survey - Credit Cards - Regular AMEX,An individual within the household completed a survey indicating they use a regular American Express card.,"Y = Yes
U = Unknown",Drop U,IRAE_U
IRDI,-2.25E-05,0.783753417,categorical,Not Applicable,No,Survey - Credit Cards - Regular Discover,An individual within the household completed a survey indicating they use a regular Discover card.,"Y = Yes
U = Unknown",Drop U,IRDI_U
IROT,4.94E-05,0.081899323,categorical,Not Applicable,No,Survey - Credit Cards - Regular Other,An individual within the household completed a survey indicating they use a regular credit card.,"Y = Yes
U = Unknown",Drop U,IROT_U
IRSR,-2.39E-05,0.892823093,categorical,Not Applicable,No,Survey - Credit Cards - Regular Store or Retail,An individual within the household completed a survey indicating they use a regular store or retail credit card.,"Y = Yes
U = Unknown",Drop U,IRSR_U
IRVM,0.000301816,0.000252231,categorical,Not Applicable,No,Survey - Credit Cards - Regular Visa or MasterCard,An individual within the household completed a survey indicating they use a regular Visa or MasterCard.,"Y = Yes
U = Unknown",Drop U,IRVM_U
IRDEBIT,-6.82E-06,0.396175127,categorical,Not Applicable,No,Survey - Credit Cards - ATM/Debit,An individual within the household completed a survey indicating they use an ATM or debit card.,"Y = Yes
U = Unknown",Drop U,IRDEBIT_U
IDC,0.000352157,8.41E-05,categorical,Not Applicable,No,Survey - Diet Concerns,An individual within the household completed a survey indicating diet concerns.,"Y = Yes
U = Unknown",Drop U,IDC_U
IDWGHT,0.000412128,2.30E-05,categorical,Not Applicable,No,Survey - Diet Concerns - Lose Weight,An individual within the household completed a survey with a diet concern to lose weight.,"Y = Yes
U = Unknown",Drop U,IDWGHT_U
IDNAT,0.00019567,0.002647636,categorical,Not Applicable,No,Survey - Diet Concerns - Eat Natural/Herbal/Organic,An individual within the household completed a survey with a diet concern to eat more natural/herbal/herbal/organic foods.,"Y = Yes
U = Unknown",Drop U,IDNAT_U
IDVIT,0.000479353,5.40E-06,categorical,Not Applicable,No,Survey - Diet Concerns - Vitamin Supplements - Obsolete,An individual within the household completed a survey with a diet concern to include vitamin supplements.,"Y = Yes
U = Unknown",Drop U,IDVIT_U
IDLOW,-2.41E-05,0.921544263,categorical,Not Applicable,No,Survey - Diet Concerns - Low-Fat/Healthy Foods,An individual within the household completed a survey with a diet concern to eat low fat and healthy foods.,"Y = Yes
U = Unknown",Drop U,IDLOW_U
IGC,0.00038918,3.77E-05,categorical,Not Applicable,No,Survey - Grandchildren,An individual within the household completed a survey indicating they have grandchildren.,"Y = Yes
U = Unknown",Drop U,IGC_U
PRESHI,0.000636046,1.91E-07,categorical,Not Applicable,No,Survey - Hobby,An individual within the household completed a survey indicating they enjoy hobbies.,"Y = Yes
U = Unknown",Drop U,PRESHI_U
IHBA,0.00051578,2.48E-06,categorical,Not Applicable,No,Survey - Hobby - Baking,An individual within the household completed a survey indicating a hobby or interest in baking.,"Y = Yes
U = Unknown",Drop U,IHBA_U
IHBI,0.000220197,0.001529253,categorical,Not Applicable,No,Survey - Hobby - Bird Watching/Feeding,An individual within the household completed a survey indicating a hobby or interest in bird watching or feeding.,"Y = Yes
U = Unknown",Drop U,IHBI_U
IHCR,0.000411756,2.31E-05,categorical,Not Applicable,No,Survey - Hobby - Cars or Car Repair,An individual within the household completed a survey indicating a hobby or interest in cars or car repair.,"Y = Yes
U = Unknown",Drop U,IHCR_U
IHCI,1.01E-05,0.234489257,categorical,Not Applicable,No,Survey - Hobby - Cigar Smoking,An individual within the household completed a survey indicating a hobby or interest in cigar smoking.,"Y = Yes
U = Unknown",Drop U,IHCI_U
IHCG,-4.91E-06,0.371531057,categorical,Not Applicable,No,Survey - Hobby - Gourmet Cooking,An individual within the household completed a survey indicating a hobby or interest in gourmet cooking.,"Y = Yes
U = Unknown",Drop U,IHCG_U
IHCO,0.000485024,4.78E-06,categorical,Not Applicable,No,Survey - Hobby - Cooking,An individual within the household completed a survey indicating a hobby or interest in cooking.,"Y = Yes
U = Unknown",Drop U,IHCO_U
IHCF,0.000299975,0.00026261,categorical,Not Applicable,No,Survey - Hobby - Crafts,An individual within the household completed a survey indicating a hobby or interest in crafts.,"Y = Yes
U = Unknown",Drop U,IHCF_U
IHCA,-4.77E-06,0.369835714,categorical,Not Applicable,No,Survey - Hobby - Casino Gambling - Obsolete,An individual within the household completed a survey indicating a hobby or interest in casino gambling.,"Y = Yes
U = Unknown",Drop U,IHCA_U
IHGA,6.23E-05,0.059177678,categorical,Not Applicable,No,Survey - Hobby - Gardening,An individual within the household completed a survey indicating a hobby or interest in gardening.,"Y = Yes
U = Unknown",Drop U,IHGA_U
IHGF,0.000103333,0.022029802,categorical,Not Applicable,No,Survey - Hobby - Gardening - Flowers,An individual within the household completed a survey indicating a hobby or interest in gardening flowers.,"Y = Yes
U = Unknown",Drop U,IHGF_U
IHGO,0.000126942,0.012681718,categorical,Not Applicable,No,Survey - Hobby - Gardening - Organic,An individual within the household completed a survey indicating a hobby or interest in gardening organic.,"Y = Yes
U = Unknown",Drop U,IHGO_U
IHGV,-1.63E-05,0.565527928,categorical,Not Applicable,No,Survey - Hobby - Gardening - Vegetables,An individual within the household completed a survey indicating a hobby or interest in gardening vegetables.,"Y = Yes
U = Unknown",Drop U,IHGV_U
IHHI,0.000124969,0.013276031,categorical,Not Applicable,No,Survey - Hobby - Home Improvement or Repair,An individual within the household completed a survey indicating a hobby or interest in home improvement or repair.,"Y = Yes
U = Unknown",Drop U,IHHI_U
IHHS,0.000122424,0.014085056,categorical,Not Applicable,No,Survey - Hobby - Home Study Courses,An individual within the household completed a survey indicating a hobby or interest in home study courses.,"Y = Yes
U = Unknown",Drop U,IHHS_U
IHKN,8.63E-05,0.033075401,categorical,Not Applicable,No,Survey - Hobby - Knitting or Needlework,An individual within the household completed a survey indicating a hobby or interest in knitting or needlework.,"Y = Yes
U = Unknown",Drop U,IHKN_U
IHLO,0.000197702,0.002529497,categorical,Not Applicable,No,Survey - Hobby - Lotteries or Sweepstakes - Obsolete,An individual within the household completed a survey indicating a hobby or interest in lotteries or sweepstakes.,"Y = Yes
U = Unknown",Drop U,IHLO_U
IHQU,3.96E-05,0.105041597,categorical,Not Applicable,No,Survey - Hobby - Quilting,An individual within the household completed a survey indicating a hobby or interest in quilting.,"Y = Yes
U = Unknown",Drop U,IHQU_U
IHSE,0.000286183,0.000355374,categorical,Not Applicable,No,Survey - Hobby - Self-Improvement Courses,An individual within the household completed a survey indicating a hobby or interest in self-improvement courses.,"Y = Yes
U = Unknown",Drop U,IHSE_U
IHSW,-2.22E-05,0.768114143,categorical,Not Applicable,No,Survey - Hobby - Sewing,An individual within the household completed a survey indicating a hobby or interest in sewing.,"Y = Yes
U = Unknown",Drop U,IHSW_U
IHTH,0.000115277,0.016640169,categorical,Not Applicable,No,Survey - Hobby - Theater or Performing Arts,An individual within the household completed a survey indicating a hobby or interest in theater or performing arts.,"Y = Yes
U = Unknown",Drop U,IHTH_U
IHWO,0.000217851,0.001611404,categorical,Not Applicable,No,Survey - Hobby - Wood Working,An individual within the household completed a survey indicating a hobby or interest in wood working.,"Y = Yes
U = Unknown",Drop U,IHWO_U
IHWI,-2.29E-05,0.805491108,categorical,Not Applicable,No,Survey - Hobby - Wine Appreciation,An individual within the household completed a survey indicating a hobby or interest in wine appreciation.,"Y = Yes
U = Unknown",Drop U,IHWI_U
IHPH,3.01E-05,0.134701007,categorical,Not Applicable,No,Survey - Hobby - Photography,An individual within the household completed a survey indicating a hobby or interest in photography.,"Y = Yes
U = Unknown",Drop U,IHPH_U
IHEX,-2.42E-05,0.932714347,categorical,Not Applicable,No,Survey - Hobby - Exercise 3 or more times per week,An individual within the household completed a survey indicating a hobby or interest in exercising 3 or more times per week.,"Y = Yes
U = Unknown",Drop U,IHEX_U
IHSCRAP,0.000155913,0.006512232,categorical,Not Applicable,No,Survey - Hobby - Scrap Booking,An individual within the household completed a survey indicating a hobby or interest in scrap booking.,"Y = Yes
U = Unknown",Drop U,IHSCRAP_U
IHCLF,0.000286629,0.000351909,categorical,Not Applicable,No,Survey - Hobby - Cooking-low fat,An individual within the household completed a survey indicating a hobby or interest in low fat cooking.,"Y = Yes
U = Unknown",Drop U,IHCLF_U
IHCAC,7.22E-05,0.046407205,categorical,Not Applicable,No,Survey - Hobby - Career advancement courses,An individual within the household completed a survey indicating a hobby or interest in career advancement courses.,"Y = Yes
U = Unknown",Drop U,IHCAC_U
IHBEAD,-1.36E-05,0.50724242,categorical,Not Applicable,No,Survey - Hobby - Beading/Jewelry Making,An individual within the household completed a survey indicating a hobby or interest in beading or jewelry making.,"Y = Yes
U = Unknown",Drop U,IHBEAD_U
IHDIY,-1.67E-05,0.574655006,categorical,Not Applicable,No,Survey - Hobby - Do-it-yourself,An individual within the household completed a survey indicating a hobby or interest in do it yourself projects.,"Y = Yes
U = Unknown",Drop U,IHDIY_U
IHGREEN,0.000147835,0.00783388,categorical,Not Applicable,No,Survey - Hobby - Green,An individual within the household completed a survey indicating a hobby or interest in issues concerning the environment.,"Y = Yes
U = Unknown",Drop U,IHGREEN_U
IHNETWRK,-2.37E-05,0.874065255,categorical,Not Applicable,No,Survey - Hobby - Social Networking,An individual within the household completed a survey indicating a hobby or interest in online social networking.,"Y = Yes
U = Unknown",Drop U,IHNETWRK_U
IHSPTWEL,-2.35E-05,0.850968355,categorical,Not Applicable,No,Survey - Hobby - Spirituality & Wellness,An individual within the household completed a survey indicating a hobby or interest in spirituality and wellness.,"Y = Yes
U = Unknown",Drop U,IHSPTWEL_U
IOLP,0.000349405,8.93E-05,categorical,Not Applicable,No,Survey - Online Purchaser,An individual within the household completed a survey indicating the purchase of items online.,"Y = Yes
U = Unknown",Drop U,IOLP_U
IMBO,4.69E-05,0.087153981,categorical,Not Applicable,No,Survey - Mail Order - Books,An individual within the household completed a survey indicating the purchase of books through the mail.,"Y = Yes
U = Unknown",Drop U,IMBO_U
IMBM,2.21E-06,0.296343791,categorical,Not Applicable,No,Survey - Mail Order - Books/Magazines,An individual within the household completed a survey indicating the purchase of books or magazines through the mail.,"Y = Yes
U = Unknown",Drop U,IMBM_U
IMCH,0.000143489,0.008655494,categorical,Not Applicable,No,Survey - Mail Order - Childrens Products,An individual within the household completed a survey indicating the purchase of childrens products through the mail.,"Y = Yes
U = Unknown",Drop U,IMCH_U
IMCL,0.000177454,0.003991871,categorical,Not Applicable,No,Survey - Mail Order - Clothing,An individual within the household completed a survey indicating the purchase of clothing through the mail.,"Y = Yes
U = Unknown",Drop U,IMCL_U
IMCO,0.000344745,9.88E-05,categorical,Not Applicable,No,Survey - Mail Order - Cosmetics,An individual within the household completed a survey indicating the purchase of cosmetics through the mail.,"Y = Yes
U = Unknown",Drop U,IMCO_U
IMFO,8.14E-05,0.037144585,categorical,Not Applicable,No,Survey - Mail Order - Food Products,An individual within the household completed a survey indicating the purchase of food products through the mail.,"Y = Yes
U = Unknown",Drop U,IMFO_U
IMGI,0.000135582,0.01038387,categorical,Not Applicable,No,Survey - Mail Order - Gifts,An individual within the household completed a survey indicating the purchase of gifts through the mail.,"Y = Yes
U = Unknown",Drop U,IMGI_U
IMHO,1.08E-05,0.229780247,categorical,Not Applicable,No,Survey - Mail Order - Home Furnishings,An individual within the household completed a survey indicating the purchase of home furnishings through the mail.,"Y = Yes
U = Unknown",Drop U,IMHO_U
IMMA,1.28E-06,0.30489427,categorical,Not Applicable,No,Survey - Mail Order - Magazines,An individual within the household completed a survey indicating the purchase of magazines through the mail.,"Y = Yes
U = Unknown",Drop U,IMMA_U
IMOT,0.000222659,0.001447595,categorical,Not Applicable,No,Survey - Mail Order - Other,An individual within the household completed a survey indicating the purchase of miscellaneous items through the mail.,"Y = Yes
U = Unknown",Drop U,IMOT_U
IMJE,4.44E-05,0.092917299,categorical,Not Applicable,No,Survey - Mail Order - Jewelry,An individual within the household completed a survey indicating they purchase jewelry through the mail.,"Y = Yes
U = Unknown",Drop U,IMJE_U
IMPS,0.000256727,0.000679885,categorical,Not Applicable,No,Survey - Mail Order - Plus Size Clothing,An individual within the household completed a survey indicating the purchase of plus size clothing through the mail.,"Y = Yes
U = Unknown",Drop U,IMPS_U
IMDV,0.000166519,0.005114776,categorical,Not Applicable,No,Survey - Mail Order - DVD,An individual within the household completed a survey indicating the purchase of DVDs through the mail.,"Y = Yes
U = Unknown",Drop U,IMDV_U
INVE,2.42E-05,0.157878005,categorical,Not Applicable,No,Survey - Investments,An individual within the household completed a survey indicating an investment.,"Y = Yes
U = Unknown",Drop U,INVE_U
INOT,-1.92E-05,0.64533777,categorical,Not Applicable,No,Survey - Investments - Other,An individual within the household completed a survey indicating other types of investments.,"Y = Yes
U = Unknown",Drop U,INOT_U
INLI,4.44E-05,0.09280105,categorical,Not Applicable,No,Survey - Investments - Life Insurance,An individual within the household completed a survey indicating an investment in life insurance.,"Y = Yes
U = Unknown",Drop U,INLI_U
INMU,0.000237925,0.001030941,categorical,Not Applicable,No,Survey - Investments - Mutual Funds,An individual within the household completed a survey indicating an investment in mutual funds.,"Y = Yes
U = Unknown",Drop U,INMU_U
INSB,4.80E-05,0.084744989,categorical,Not Applicable,No,Survey - Investments - Stocks or Bonds,An individual within the household completed a survey indicating an investment in stocks or bonds.,"Y = Yes
U = Unknown",Drop U,INSB_U
INRE,-2.43E-06,0.342772832,categorical,Not Applicable,No,Survey - Investments - Real Estate,An individual within the household completed a survey indicating investments of real estate.,"Y = Yes
U = Unknown",Drop U,INRE_U
INMEDI,3.22E-06,0.287262875,categorical,Not Applicable,No,Survey - Investments - Medicare Coverage,An individual within the household completed a survey indicating investment in Medicare coverage.,"Y = Yes
U = Unknown",Drop U,INMEDI_U
IN401K,-2.28E-05,0.798998343,categorical,Not Applicable,No,Survey - Investments - 401K,An individual within the household completed a survey indicating an investment in a 401K plan.,"Y = Yes
U = Unknown",Drop U,IN401K_U
INCD,-6.82E-06,0.396211739,categorical,Not Applicable,No,Survey - Investments - CD,An individual within the household completed a survey indicating an investment in a certificate of deposit.,"Y = Yes
U = Unknown",Drop U,INCD_U
INIRA,-1.23E-05,0.481387839,categorical,Not Applicable,No,Survey - Investments - IRA,An individual within the household completed a survey indicating an investment in a individual retirement account.,"Y = Yes
U = Unknown",Drop U,INIRA_U
INTSTMED,-1.68E-05,0.577286105,categorical,Not Applicable,No,Survey - Investments - Interested in Medicare Coverage,An individual within the household completed a survey indicating an interest in Medicare coverage insurance. ,"Y = Yes
U = Unknown",Drop U,INTSTMED_U
INNOMEDI,-7.18E-06,0.401033112,categorical,Not Applicable,No,Survey - Investments - No Medicare Coverage,An individual within the household completed a survey indicating they do not have Medicare coverage insurance. ,"Y = Yes
U = Unknown",Drop U,INNOMEDI_U
PRESMI,0.00051948,2.29E-06,categorical,Not Applicable,No,Survey - Music,An individual within the household completed a survey indicating they enjoy music.,"Y = Yes
U = Unknown",Drop U,PRESMI_U
IMGO,0.0001753,0.004191223,categorical,Not Applicable,No,Survey - Music - Christian or Gospel,An individual within the household completed a survey indicating they like christian or gospel music.,"Y = Yes
U = Unknown",Drop U,IMGO_U
IMCS,3.47E-06,0.285163695,categorical,Not Applicable,No,Survey - Music - Classical,An individual within the household completed a survey indicating they like classical music.,"Y = Yes
U = Unknown",Drop U,IMCS_U
IMCU,0.00039107,3.62E-05,categorical,Not Applicable,No,Survey - Music - Country,An individual within the household completed a survey indicating they like country music.,"Y = Yes
U = Unknown",Drop U,IMCU_U
IMJA,-1.46E-05,0.526986245,categorical,Not Applicable,No,Survey - Music - Jazz,An individual within the household completed a survey indicating they like jazz music.,"Y = Yes
U = Unknown",Drop U,IMJA_U
IMOR,-5.62E-06,0.380404813,categorical,Not Applicable,No,Survey - Music - Other,An individual within the household completed a survey indicating they like other kinds of music.,"Y = Yes
U = Unknown",Drop U,IMOR_U
IMRH,0.00021046,0.001900643,categorical,Not Applicable,No,Survey - Music - Rhythm and Blues,An individual within the household completed a survey indicating they like rhythm and blues music.,"Y = Yes
U = Unknown",Drop U,IMRH_U
IMRO,0.000699996,4.90E-08,categorical,Not Applicable,No,Survey - Music - Rock n Roll,An individual within the household completed a survey indicating they like rock n roll music.,"Y = Yes
U = Unknown",Drop U,IMRO_U
IMSO,9.15E-06,0.240829905,categorical,Not Applicable,No,Survey - Music - Soft Rock,An individual within the household completed a survey indicating they like soft rock music.,"Y = Yes
U = Unknown",Drop U,IMSO_U
IMBBND,0.000151012,0.007284236,categorical,Not Applicable,No,Survey - Music - Big band or swing,An individual within the household completed a survey indicating they like big band or swing music.,"Y = Yes
U = Unknown",Drop U,IMBBND_U
IMALT,3.16E-05,0.129405544,categorical,Not Applicable,No,Survey - Music - Alternative,An individual within the household completed a survey indicating they like alternative music.,"Y = Yes
U = Unknown",Drop U,IMALT_U
IVET,4.64E-06,0.275232758,categorical,Not Applicable,No,Survey - Veteran in Household,An individual within the household completed a survey indicating the presence of a veteran.,"Y = Yes
U = Unknown",Drop U,IVET_U
IHIGHSCL,4.11E-05,0.101249224,categorical,Not Applicable,No,Survey - High School Graduate,An individual within the household completed a survey indicating they are a high school graduate.,"Y = Yes
U = Unknown",Drop U,IHIGHSCL_U
IOHO,7.60E-05,0.042318699,categorical,Not Applicable,No,Survey - Occupation - Homemaker,An individual within the household completed a survey indicating an occupation of homemaker.,"Y = Yes
U = Unknown",Drop U,IOHO_U
IOMA,4.70E-05,0.086862391,categorical,Not Applicable,No,Survey - Occupation - Management,An individual within the household completed a survey indicating a management occupation.,"Y = Yes
U = Unknown",Drop U,IOMA_U
IOSA,4.15E-05,0.100091259,categorical,Not Applicable,No,Survey - Occupation - Sales or Marketing,An individual within the household completed a survey indicating a sales or marketing occupation.,"Y = Yes
U = Unknown",Drop U,IOSA_U
IOTR,0.0003112,0.000205409,categorical,Not Applicable,No,Survey - Occupation - Tradesman or Laborer,An individual within the household completed a survey indicating a tradesman or laborer occupation.,"Y = Yes
U = Unknown",Drop U,IOTR_U
IOPT,2.41E-05,0.158253778,categorical,Not Applicable,No,Survey - Occupation - Professional or Technical,An individual within the household completed a survey indicating a professional or technical occupation.,"Y = Yes
U = Unknown",Drop U,IOPT_U
IORE,-2.38E-05,0.884980546,categorical,Not Applicable,No,Survey - Occupation - Retired,An individual within the household completed a survey indicating someone is retired.,"Y = Yes
U = Unknown",Drop U,IORE_U
IOSE,7.45E-05,0.043895114,categorical,Not Applicable,No,Survey - Occupation - Self Employed,An individual within the household completed a survey indicating an occupation of self employed.,"Y = Yes
U = Unknown",Drop U,IOSE_U
IOOW,1.66E-05,0.194855767,categorical,Not Applicable,No,Survey - Occupation - Operate Business From Home,An individual within the household completed a survey indicating they operate a business from home.,"Y = Yes
U = Unknown",Drop U,IOOW_U
IOST,2.43E-05,0.157493168,categorical,Not Applicable,No,Survey - Occupation - Student,An individual within the household completed a survey indicating they are a student.,"Y = Yes
U = Unknown",Drop U,IOST_U
IOMG,-6.72E-06,0.394800043,categorical,Not Applicable,No,Survey - Occupation - Military/Government,An individual within the household completed a survey indicating an occupation in the military or government.,"Y = Yes
U = Unknown",Drop U,IOMG_U
IODOCTOR,2.36E-05,0.160617736,categorical,Not Applicable,No,Survey - Occupation - Doctor,An individual within the household completed a survey indicating an occupation of doctor.,"Y = Yes
U = Unknown",Drop U,IODOCTOR_U
IOFULL,-2.43E-05,0.963677587,categorical,Not Applicable,No,Survey - Occupation - Full Time,An individual within the household completed a survey indicating they are employed full time.,"Y = Yes
U = Unknown",Drop U,IOFULL_U
IONURSE,-2.42E-05,0.93758685,categorical,Not Applicable,No,Survey - Occupation - Nurse,An individual within the household completed a survey indicating an occupation of nurse.,"Y = Yes
U = Unknown",Drop U,IONURSE_U
IOPART,-1.54E-05,0.54500749,categorical,Not Applicable,No,Survey - Occupation - Part Time,An individual within the household completed a survey indicating they are employed part time.,"Y = Yes
U = Unknown",Drop U,IOPART_U
IOTEACHR,1.72E-06,0.300776972,categorical,Not Applicable,No,Survey - Occupation - Teacher,An individual within the household completed a survey indicating an occupation of teacher.,"Y = Yes
U = Unknown",Drop U,IOTEACHR_U
IREA,0.000289826,0.00032806,categorical,Not Applicable,No,Survey - Likes To Read,An individual within the household completed a survey indicating they like to read.,"Y = Yes
U = Unknown",Drop U,IREA_U
IRAS,0.000176956,0.004037094,categorical,Not Applicable,No,Survey - Reading - Astrology,An individual within the household completed a survey indicating they read about astrology.,"Y = Yes
U = Unknown",Drop U,IRAS_U
IRBI,0.000108095,0.019692006,categorical,Not Applicable,No,Survey - Reading - Bible or Devotional,An individual within the household completed a survey indicating they read bible or devotional books.,"Y = Yes
U = Unknown",Drop U,IRBI_U
IRBF,4.39E-05,0.094151725,categorical,Not Applicable,No,Survey - Reading - Best Selling Fiction,An individual within the household completed a survey indicating they read best selling fiction.,"Y = Yes
U = Unknown",Drop U,IRBF_U
IRBT,8.75E-05,0.032120113,categorical,Not Applicable,No,Survey - Reading - Books on Tape,An individual within the household completed a survey indicating they enjoy books on tape.,"Y = Yes
U = Unknown",Drop U,IRBT_U
IRCH,0.000247844,0.000827471,categorical,Not Applicable,No,Survey - Reading - Childrens,An individual within the household completed a survey indicating they read childrens books.,"Y = Yes
U = Unknown",Drop U,IRCH_U
IRCK,2.11E-05,0.171710941,categorical,Not Applicable,No,Survey - Reading - Cooking or Culinary,An individual within the household completed a survey indicating they read about cooking or culinary.,"Y = Yes
U = Unknown",Drop U,IRCK_U
IRCO,0.000114629,0.016894512,categorical,Not Applicable,No,Survey - Reading - Computer,An individual within the household completed a survey indicating they read about computers.,"Y = Yes
U = Unknown",Drop U,IRCO_U
IRCL,-7.05E-06,0.399259618,categorical,Not Applicable,No,Survey - Reading - Country Lifestyle,An individual within the household completed a survey indicating they read about a country lifestyle.,"Y = Yes
U = Unknown",Drop U,IRCL_U
IRFA,-2.29E-05,0.808946514,categorical,Not Applicable,No,Survey - Reading - Fashion,An individual within the household completed a survey indicating they read about fashion.,"Y = Yes
U = Unknown",Drop U,IRFA_U
IRHI,-2.42E-05,0.942998333,categorical,Not Applicable,No,Survey - Reading - History,An individual within the household completed a survey indicating they read about history.,"Y = Yes
U = Unknown",Drop U,IRHI_U
IRIN,-1.92E-05,0.645560113,categorical,Not Applicable,No,Survey - Reading - Interior Decorating,An individual within the household completed a survey indicating they read about interior decorating.,"Y = Yes
U = Unknown",Drop U,IRIN_U
IRME,-2.15E-05,0.731716107,categorical,Not Applicable,No,Survey - Reading - Medical or Health,An individual within the household completed a survey indicating they read medicine or health.,"Y = Yes
U = Unknown",Drop U,IRME_U
IRMI,1.17E-05,0.223504371,categorical,Not Applicable,No,Survey - Reading - Military,An individual within the household completed a survey indicating they read about the military.,"Y = Yes
U = Unknown",Drop U,IRMI_U
IRMY,-1.69E-05,0.581009574,categorical,Not Applicable,No,Survey - Reading - Mystery,An individual within the household completed a survey indicating they read mysteries.,"Y = Yes
U = Unknown",Drop U,IRMY_U
IRNA,4.52E-05,0.0910478,categorical,Not Applicable,No,Survey - Reading - Natural Health Remedies,An individual within the household completed a survey indicating they read about natural health remedies.,"Y = Yes
U = Unknown",Drop U,IRNA_U
IRPE,2.04E-05,0.175034518,categorical,Not Applicable,No,Survey - Reading - People or Entertainment,An individual within the household completed a survey indicating they read about people or entertainment.,"Y = Yes
U = Unknown",Drop U,IRPE_U
IRRO,-1.52E-05,0.540807428,categorical,Not Applicable,No,Survey - Reading - Romance,An individual within the household completed a survey indicating they read romance.,"Y = Yes
U = Unknown",Drop U,IRRO_U
IRSF,-1.45E-05,0.525176259,categorical,Not Applicable,No,Survey - Reading - Science Fiction,An individual within the household completed a survey indicating they read science fiction.,"Y = Yes
U = Unknown",Drop U,IRSF_U
IRST,-2.43E-05,0.97686495,categorical,Not Applicable,No,Survey - Reading - Science or Technology,An individual within the household completed a survey indicating they read about science or technology.,"Y = Yes
U = Unknown",Drop U,IRST_U
IRSP,-2.28E-05,0.800423207,categorical,Not Applicable,No,Survey - Reading - Sports,An individual within the household completed a survey indicating they read about sports.,"Y = Yes
U = Unknown",Drop U,IRSP_U
IRWO,5.56E-05,0.070048817,categorical,Not Applicable,No,Survey - Reading - World News or Politics,An individual within the household completed a survey indicating they read about world news or politics.,"Y = Yes
U = Unknown",Drop U,IRWO_U
IRTHRLL,-2.23E-05,0.773811828,categorical,Not Applicable,No,Survey - Reading - Thriller or Suspense,An individual within the household completed a survey indicating they read about thrillers or suspense.,"Y = Yes
U = Unknown",Drop U,IRTHRLL_U
IRBEST,-2.98E-06,0.348881247,categorical,Not Applicable,No,Survey - Reading - Best Sellers,An individual within the household completed a survey indicating they read best sellers.,"Y = Yes
U = Unknown",Drop U,IRBEST_U
IRBKCLUB,9.62E-06,0.237562489,categorical,Not Applicable,No,Survey - Reading - Book Club,An individual within the household completed a survey indicating they belong to a book club.,"Y = Yes
U = Unknown",Drop U,IRBKCLUB_U
IRCOMICS,-2.07E-05,0.698187468,categorical,Not Applicable,No,Survey - Reading - Comics,An individual within the household completed a survey indicating they read comic books.,"Y = Yes
U = Unknown",Drop U,IRCOMICS_U
IRFINAN,-1.88E-05,0.63154175,categorical,Not Applicable,No,Survey - Reading - Financial,An individual within the household completed a survey indicating they read financial books or magazines.,"Y = Yes
U = Unknown",Drop U,IRFINAN_U
IRHMGRDN,-1.25E-05,0.484893597,categorical,Not Applicable,No,Survey - Reading - Home & Garden,An individual within the household completed a survey indicating they read home and garden books or magazines.,"Y = Yes
U = Unknown",Drop U,IRHMGRDN_U
IRSELF,-1.76E-05,0.597596164,categorical,Not Applicable,No,Survey - Reading - Self-Improvement,An individual within the household completed a survey indicating they read self-improvement books or magazines.,"Y = Yes
U = Unknown",Drop U,IRSELF_U
IRTRLENT,-1.60E-05,0.558827465,categorical,Not Applicable,No,Survey - Reading - Travel & Entertainment,An individual within the household completed a survey indicating they read travel and entertainment books or magazines.,"Y = Yes
U = Unknown",Drop U,IRTRLENT_U
IRMAGAZN,-1.94E-05,0.651201389,categorical,Not Applicable,No,Survey - Reading - Magazines,An individual within the household completed a survey indicating they read magazines. ,"Y = Yes
U = Unknown",Drop U,IRMAGAZN_U
IDAN,0.000113056,0.017527994,categorical,Not Applicable,No,Survey - Donor - Animal,An individual within the household completed a survey indicating they donate to animal causes.,"Y = Yes
U = Unknown",Drop U,IDAN_U
IDAC,-2.34E-05,0.841619219,categorical,Not Applicable,No,Survey - Donor - Arts/Cultural,An individual within the household completed a survey indicating they donate to arts/cultural causes.,"Y = Yes
U = Unknown",Drop U,IDAC_U
IDCH,0.000100861,0.023355071,categorical,Not Applicable,No,Survey - Donor - Children,An individual within the household completed a survey indicating they donate to children causes.,"Y = Yes
U = Unknown",Drop U,IDCH_U
IDEN,0.000253795,0.000725393,categorical,Not Applicable,No,Survey - Donor - Environment or Wildlife,An individual within the household completed a survey indicating they donate to environment or wildlife causes.,"Y = Yes
U = Unknown",Drop U,IDEN_U
